"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","Buffalo","Bills","BUF",84,103,1,7.02,184.52,10.67472
"2","Baltimore","Ravens","BAL",93,101,2,4.25,170.34,13.78818
"3","Dallas","Cowboys","DAL",103,109,3,16.68,238.67,2.66868000000002
"4","Philadelphia","Eagles","PHI",142,82,4,3,163.55,25.79724
"5","Houston","Texans","HOU",111,131,4,6.23,183.53,8.30256000000001
"6","Denver","Broncos","DEN",121,124,5,1.27,152.01,15.27078
"7","Cleveland","Browns","CLE",139,123,5,19.73,244.45,23.27682
"8","New York","Giants","NYG",117,115,6,20.3,248.5,0.741300000000021
"9","San Francisco","49ers","SFO",129,162,6,13.68,222.89,4.29953999999999
"10","New York","Jets","NYJ",143,141,7,15.41,210.21,14.0847
"11","Pittsburgh","Steelers","PIT",132,138,8,4.3,168.57,11.41602
"12","Green Bay","Packers","GBP",176,112,9,12.46,204.32,25.64898
"13","Indianapolis","Colts","IND",136,146,10,25.16,249.63,8.59908
"14","Los Angeles","Chargers","LAC",166,151,10,12.7,195.46,13.93644
"15","Kansas City","Chiefs","KCC",133,187,11,9.05,187.34,5.9304
"16","Chicago","Bears","CHI",137,163,11,18.98,274.13,0.7413
"17","Detroit","Lions","DET",178,160,12,10.14,188.35,19.2738
"18","Minnesota","Vikings","MIN",183,177,13,5.34,174.46,7.85778000000002
"19","Cincinnati","Bengals","CIN",158,198,13,26.43,267.86,7.26473999999997
"20","Miami","Dolphins","MIA",174,153,14,23.78,289.16,5.48562
"21","Seattle","Seahawks","SEA",153,190,14,11.71,200.11,4.4478
"22","Tampa Bay","Buccaneers","TBB",169,199,15,18.11,253.42,9.19212000000002
"23","Los Angeles","Rams","LAR",215,164,15,12.05,204.7,22.9803
"24","New Orleans","Saints","NOS",185,200,15,28.73,210,7.70951999999998
"25","Las Vegas","Raiders","LVR",173,211,16,28.41,232.5,2.9652
"26","Washington","Commanders","WAS",247,147,17,21.88,260.86,33.3585
"27","Jacksonville","Jaguars","JAC",180,227,18,27.72,285.5,4.00301999999998
"28","Tennessee","Titans","TEN",197,218,19,30.17,NA,4.44779999999998
"29","New England","Patriots","NEP",198,245,19,18.45,260.11,0.296520000000004
"30","Arizona","Cardinals","ARI",284,176,20,19.16,270.58,26.83506
"31","Atlanta","Falcons","ATL",213,241,21,24.18,282.17,6.07865999999999
"32","Carolina","Panthers","CAR",271,243,21,31.08,NA,18.5325
