"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","Brandon","Aubrey","DAL",59,54,1,1.47,186.78,0.613176011552025
"2","Justin","Tucker","FA",67,88,1,28.67,227.41,NA
"3","Greg","Zuerlein","FA",71,95,2,29,NA,NA
"4","Jason","Sanders","MIA",100,84,2,14.38,234.91,13.0197941477011
"5","Cameron","Dicker","LAC",79,103,3,3,193.57,0.0451700279640805
"6","Harrison","Butker","KCC",103,105,3,8.3,217.37,7.22470979999999
"7","Chase","McLaughlin","TBB",140,93,3,6.57,207.46,7.41699987639359
"8","Jake","Elliott","PHI",94,119,3,11.53,228.29,4.97747113628476
"9","Tyler","Bass","BUF",119,92,3,10.28,221.9,14.53729542
"10","Evan","McPherson","CIN",98,116,3,9.87,215.89,1.73585398672606
"11","Younghoe","Koo","ATL",107,107,3,14.23,240.65,2.96666803736675
"12","Ka'imi","Fairbairn","HOU",112,122,4,7.02,206.91,7.0999244485913
"13","Matt","Gay","WAS",209,89,4,11.74,241.78,11.0913911407924
"14","Spencer","Shrader","IND",128,113,4,26.83,259,14.6780990671875
"15","Chris","Boswell","PIT",106,137,4,8.75,207.34,2.1186354
"16","Tyler","Loop","BAL",105,145,4,13.29,236.94,1.17708908999999
"17","Jake","Moody","SFO",116,135,4,19.57,260.62,1.35553364135592
"18","Brandon","McManus","GBP",170,110,4,17.92,252.48,17.4210961104567
"19","Daniel","Carlson","LVR",124,133,5,18.17,275.19,2.16226706901789
"20","Wil","Lutz","DEN",118,159,5,5.92,203.1,0.99927240000001
"21","Jake","Bates","DET",194,134,5,3.64,193.8,9.22567594009714
"22","Matt","Prater","FA",122,167,5,27.8,270.44,NA
"23","Jason","Myers","SEA",151,114,5,20.55,277.25,5.35774205436949
"24","Joshua","Karty","LAR",149,155,5,16.89,261.31,3.84478622033332
"25","Will","Reichard","MIN",195,127,5,15.6,263.86,18.2915592926316
"26","Cairo","Santos","CHI",175,128,6,22.72,272.4,14.2500972675
"27","Cam","Little","JAC",145,175,6,18.64,269.17,3.33928454132369
"28","Chad","Ryland","ARI",241,132,6,24.22,273.75,19.030445545845
"29","Blake","Grupe","NOS",164,168,7,25.1,269,4.05182599393938
"30","Anders","Carlson","FA",167,209,8,NA,NA,NA
"31","Eddy","Pineiro","FA",179,219,8,30,242.25,NA
"32","Nick","Folk","NYJ",193,207,8,28.28,NA,5.048253
"33","Greg","Joseph","FA",188,226,9,39,NA,NA
"34","Brayden","Narveson","FA",199,237,9,NA,NA,NA
"35","Graham","Gano","NYG",210,224,9,25.36,265,1.65309899999999
"36","Andres","Borregales","NEP",211,232,9,27.11,NA,3.63039320000001
"37","Joey","Slye","TEN",259,216,10,29,NA,8.24355959486313
"38","Dustin","Hopkins","CLE",252,195,11,29.52,NA,16.2257195306367
"39","Riley","Patterson","FA",243,267,12,NA,NA,NA
"40","Cade","York","CIN",254,280,12,NA,NA,NA
"41",NA,NA,NA,255,281,13,NA,NA,NA
"42","Matthew","Wright","CAR",704,242,14,29.28,245.5,69.17712451125
"43",NA,NA,NA,468,446,15,NA,NA,NA
"44","Ryan","Fitzgerald","CAR",679,525,16,34.14,NA,NA
"45",NA,NA,NA,705,682,16,NA,NA,NA
