"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","Travis","Kelce","KCC",21,6,1,1.01,5.69,22.2389999999999
"2","Taysom","Hill","NOS",9,29,2,20.32,183.21,19.12554
"3","George","Kittle","SFO",63,21,2,4.89,77.31,36.76848
"4","Mark","Andrews","BAL",49,23,3,2.16,35.64,38.84412
"5","Juwan","Johnson","NOS",19,50,4,16.87,161.63,18.82902
"6","Darren","Waller","NYG",53,57,4,4.35,69.76,14.826
"7","Dallas","Goedert","PHI",80,63,4,6.27,89.61,6.37518
"8","Kyle","Pitts","ATL",93,79,5,5.96,88.03,1.33433999999999
"9","T.J.","Hockenson","MIN",78,72,5,3.95,63.16,17.7912
"10","David","Njoku","CLE",126,90,5,10.03,120.52,8.59908
"11","Irv","Smith Jr.","CIN",14,177,5,NA,NA,0.7413
"12","Evan","Engram","JAC",90,103,5,9.55,117.12,0.741299999999979
"13","Pat","Freiermuth","PIT",131,102,5,9.02,111.82,5.1891
"14","Dalton","Schultz","HOU",136,91,5,13.71,141.55,25.35246
"15","Cole","Kmet","CHI",147,104,5,15.54,151.28,10.52646
"16","Greg","Dulcich","DEN",129,110,6,16.5,159.52,1.03782
"17","Gerald","Everett","LAC",160,118,6,18.48,169.22,13.63992
"18","Chigoziem","Okonkwo","TEN",145,136,6,12.97,137.99,0.444779999999996
"19","Tyler","Higbee","LAR",169,130,7,15.83,154.71,22.83204
"20","Jake","Ferguson","DAL",204,171,7,25.24,225.25,0.296520000000004
"21","Dawson","Knox","BUF",218,105,7,24.5,223.96,52.78056
"22","Hunter","Henry","NEP",196,139,7,23.63,218.08,26.24202
"23","Zach","Ertz","ARI",212,145,7,30.34,267.75,27.4281
"24","Noah","Fant","SEA",202,184,7,28.2,256.34,7.26474000000001
"25","Tyler","Conklin","NYJ",210,186,7,31.61,276.15,10.52646
"26","Mike","Gesicki","NEP",232,167,7,25.97,234.77,29.94852
"27","Cade","Otton","TBB",216,196,8,31.35,275.37,13.63992
"28","Sam","LaPorta","DET",256,132,8,18.52,173.55,60.727296
"29","Hayden","Hurst","CAR",236,183,8,26.71,242.87,33.21024
"30","Luke","Schoonmaker","DAL",294,135,8,43.8,338.41,61.765116
"31","Foster","Moreau","NOS",156,228,8,44.59,341.78,1.77912
"32","Logan","Thomas","WAS",234,227,8,33.85,292.71,3.85476
"33","Austin","Hooper","LVR",269,185,8,38.19,314.7,42.9954
"34","Luke","Musgrave","GBP",267,172,8,25.92,234.91,53.885097
"35","Dalton","Kincaid","BUF",261,176,9,14.66,150.51,52.973298
"36","Isaiah","Likely","BAL",278,245,9,31.95,277.4,6.07866
"37","C.J.","Uzomah","NYJ",291,239,9,51.28,354.47,9.6369
"38","Brock","Wright","DET",300,223,9,55.32,361.31,27.27984
"39","Durham","Smythe","MIA",198,217,9,45.36,337.03,34.233234
"40","Jelani","Woods","IND",244,256,9,31.36,271.48,1.77912
"41","Robert","Tonyan","CHI",311,240,9,43.21,338.19,24.16638
"42","Trey","McBride","ARI",303,219,9,27.94,249.2,36.10131
"43","Noah","Gray","KCC",252,257,9,44.24,345.07,16.90164
"44","Jonnu","Smith","ATL",304,273,9,43.97,340.33,3.85476
"45","Teagan","Quitoriano","HOU",322,280,9,67.9,355,2.81694
"46","Mo","Alie-Cox","IND",305,281,9,49.42,353.6,6.81996
"47","Donald","Parham","LAC",313,265,9,44.64,346.12,18.97728
"48","Tommy","Tremble","CAR",310,286,10,63.63,355.5,3.40998
"49","Kylen","Granson","IND",308,292,10,50.22,354.63,4.00302
"50","Will","Dissly","SEA",314,254,10,45.79,345.98,32.32068
"51","Daniel","Bellinger","NYG",229,276,10,40.08,322.52,20.845356
"52","Colby","Parkinson","SEA",325,284,10,58.39,359.78,16.90164
"53","Josiah","Deguara","GBP",326,299,10,71.59,NA,6.6717
"54","Adam","Trautman","DEN",319,294,10,40.34,323.33,12.6021
"55","Ian","Thomas","CAR",324,310,10,73.9,NA,0.444780000000001
"56","Jordan","Akins","CLE",334,279,10,54.88,361.18,26.879538
"57","Harrison","Bryant","CLE",315,311,10,54.55,362.79,1.03782
"58","MyCole","Pruitt","ATL",358,278,10,91.4,NA,29.592696
"59","John","Bates","WAS",351,283,10,73.18,NA,27.383622
"60","Josh","Oliver","MIN",355,260,10,58,362.43,17.465028
"61","Peyton","Hendershot","DAL",144,322,10,56.38,368.54,8.176539
"62","Julian","Hill","MIA",69,339,10,72,377.5,NA
"63","Connor","Heyward","PIT",337,305,10,81.42,NA,18.23598
"64","James","Mitchell","DET",357,325,10,68.92,361,5.9304
"65","Trevon","Wesco","TEN",354,306,10,86.2,370.5,20.786052
"66","Ko","Kieft","TBB",346,313,11,81.27,NA,16.75338
"67","Parker","Hesse","FA",103,350,11,105.4,NA,NA
"68","Blake","Bell","KCC",321,314,11,82.55,NA,16.82751
"69","Jack","Stoll","PHI",367,315,11,78.94,NA,16.45686
"70","Jimmy","Graham","NOS",352,304,11,68.29,374.2,15.19665
"71","Darnell","Washington","PIT",307,324,11,46.37,348.33,14.536893
"72","Zach","Gentry","FA",135,357,11,100.83,NA,NA
"73","Marcedes","Lewis","CHI",372,328,11,94,NA,7.85778
"74","Luke","Farrell","JAC",368,338,11,89,NA,2.81694
"75","Brycen","Hopkins","LAR",360,331,11,74,361,6.52344
"76","Michael","Mayer","LVR",336,327,11,29.28,261.84,14.45535
"77","Johnny","Mundt","MIN",369,336,11,83.23,NA,7.26474
"78","Anthony","Firkser","FA",167,360,11,NA,NA,NA
"79","Brevin","Jordan","HOU",374,319,11,55.38,353.64,13.106184
"80","Tre'","McKitty","LAC",364,342,11,73.35,NA,5.33736
"81","Kendall","Blanton","FA",209,366,11,107.25,NA,NA
"82","Tanner","Hudson","FA",233,367,11,104.8,NA,NA
"83","Eric","Tomlinson","FA",238,368,11,113,NA,NA
"84","Drew","Sample","CIN",388,344,11,77.23,NA,11.579106
"85","Mitchell","Wilcox","CIN",392,347,11,91,NA,11.905278
"86","Albert","Okwuegbunam","PHI",389,348,11,48.23,335.77,11.312238
"87","Tucker","Kraft","GBP",359,352,11,48.15,346.77,9.955659
"88","Andrew","Ogletree","IND",387,353,11,107.5,NA,10.630242
"89","Lucas","Krull","FA",266,373,11,NA,NA,NA
"90","Ross","Dwelley","SFO",413,318,11,80.54,NA,0.59304
"91","Geoff","Swaim","ARI",382,361,11,95.27,NA,5.9304
"92","John","FitzPatrick","ATL",397,356,11,97.5,NA,10.244766
"93","Charlie","Kolar","BAL",393,349,11,78,362.5,6.716178
"94","Giovanni","Ricci","CAR",401,359,11,91.9,NA,9.332967
"95","Pharaoh","Brown","FA",280,376,11,104.6,NA,NA
"96","Jeremy","Ruckert","NYJ",408,343,11,62.06,354,4.121628
"97","Chris","Manhertz","DEN",399,354,11,85,NA,5.752488
