"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","Malik","Nabers","NYG",39,19,3,6.21,10.79,33.921888
"2","Davante","Adams","LAR",34,30,4,16.34,35.27,9.547944
"3","A.J.","Brown","PHI",25,32,4,8.83,17,7.78365
"4","Mike","Evans","TBB",32,36,4,14.08,29.3,0.444779999999975
"5","Amari","Cooper","FA",24,44,5,95.96,259.89,NA
"6","DK","Metcalf","PIT",40,46,6,21.78,46.69,7.53160799999998
"7","D.J.","Moore","CHI",49,49,6,22.93,48.95,20.845356
"8","Marvin","Harrison Jr.","ARI",42,66,7,18.63,39.99,2.37215999999999
"9","Tee","Higgins","CIN",125,38,7,13.39,27.98,29.815086
"10","DeVonta","Smith","PHI",55,61,7,26.71,58.01,18.5325
"11","George","Pickens","DAL",56,51,7,25.9,57.29,2.84659199999998
"12","Zay","Flowers","BAL",48,74,7,26.59,57.22,1.45294800000003
"13","Ladd","McConkey","LAC",168,45,7,11.95,23.88,15.878646
"14","Terry","McLaurin","WAS",58,79,7,19.72,42.51,3.48411000000003
"15","Deebo","Samuel","WAS",66,41,8,37.73,88.86,1.527078
"16","Jameson","Williams","DET",63,87,8,22.49,48.3,10.659894
"17","Garrett","Wilson","NYJ",61,94,8,18.44,39.81,9.13281600000004
"18","Jaxon","Smith-Njigba","SEA",113,77,8,15.6,33.4,6.03418200000003
"19","Calvin","Ridley","TEN",57,117,8,25.98,56.84,2.46111599999999
"20","Xavier","Worthy","KCC",192,47,8,25.06,54.33,38.503122
"21","Jakobi","Meyers","LVR",70,111,8,41.45,99.36,9.93341999999998
"22","Courtland","Sutton","DEN",78,106,9,22.97,49.1,5.76731400000002
"23","Jaylen","Waddle","MIA",80,71,9,29.6,66.77,11.504976
"24","Jayden","Reed","GBP",86,108,9,39.76,94.47,18.428718
"25","Stefon","Diggs","NEP",99,59,9,42.31,101.7,4.89258000000002
"26","Jordan","Addison","MIN",90,118,9,38.63,91.1,18.324936
"27","Cooper","Kupp","SEA",108,62,10,48.36,120.34,5.29288200000001
"28","Keon","Coleman","BUF",88,103,10,48.44,120.31,0.0741300000000168
"29","Michael","Pittman","IND",103,139,10,50.14,126.19,10.97124
"30","Chris","Olave","NOS",135,65,10,35.99,84.06,25.115244
"31","Tetairoa","McMillan","CAR",81,161,10,26.75,59,6.93856799999999
"32","Travis","Hunter","JAC",77,180,10,33.07,74.74,0.526322999999995
"33","Matthew","Golden","GBP",85,174,10,42.62,102.4,4.21058399999999
"34","Chris","Godwin","TBB",110,148,10,46.2,114.31,11.727366
"35","Rashee","Rice","KCC",97,171,10,34.49,80.23,2.28320400000001
"36","Jerry","Jeudy","CLE",231,140,11,36.6,85.25,1.438122
"37","Emeka","Egbuka","TBB",114,183,11,39.49,94.5,9.02162100000001
"38","Keenan","Allen","LAC",181,90,11,63.36,159.41,20.53401
"39","Christian","Kirk","HOU",189,130,11,55.44,143.11,32.127942
"40","Rashid","Shaheed","NOS",138,201,11,52.42,132.1,3.06898200000001
"41","Brandon","Aiyuk","SFO",222,57,12,52.23,132.09,19.021758
"42","Khalil","Shakir","BUF",148,225,12,45.86,112.6,2.683506
