"","pos","name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","QB","Jalen Hurts","PHI",24,1,1,2.12,27.33,13.847484
"2","RB","Austin Ekeler","LAC",27,2,1,4.05,8.23,40.62324
"3","RB","Christian McCaffrey","SFO",29,8,1,1.73,3.44,19.86684
"4","RB","Derrick Henry","TEN",33,9,1,4.77,9.72,49.37058
"5","RB","Nick Chubb","CLE",32,10,1,2.84,5.73,42.4023599999999
"6","RB","Josh Jacobs","LVR",30,14,1,7.18,15.46,3.40997999999997
"7","WR","Justin Jefferson","MIN",34,4,1,1.16,1.67,62.86224
"8","K","Tristan Vizcaino","FA",1,120,1,31.54,320.13,NA
"9","K","Tanner Brown","FA",3,127,1,30.61,311.4,NA
"10","WR","Cooper Kupp","LAR",41,7,1,6.21,12.94,91.1799
"11","TE","Travis Kelce","KCC",21,6,1,1.01,5.69,22.2389999999999
"12","WR","Ja'Marr Chase","CIN",39,11,1,2.05,3.65,49.6671
"13","WR","Tyreek Hill","MIA",40,16,1,3.25,7.54,32.46894
"14","WR","Davante Adams","LVR",42,13,1,8.06,16.05,38.39934
"15","WR","Stefon Diggs","BUF",45,18,1,5.4,11.57,32.379984
"16","WR","A.J. Brown","PHI",47,27,1,6.43,13.39,3.85476000000003
"17","WR","CeeDee Lamb","DAL",43,17,1,6.47,13.41,44.77452
"18","K","Justin Tucker","BAL",85,61,1,1.3,172.47,26.8291296
"19","K","Mike Badgley","FA",6,203,1,NA,NA,NA
"20","WR","Gabriel Davis","BUF",7,80,1,NA,NA,17.19816
"21","K","Harrison Butker","KCC",103,81,1,4,189.51,20.0121348
"22","K","Daniel Carlson","LVR",127,60,1,5.15,197.28,55.2490889999999
"23","K","Evan McPherson","CIN",124,69,1,4.48,193.88,44.722629
"24","DST","Dallas Cowboys","DAL",81,93,1,2.66,167.91,4.29953999999997
"25","QB","Patrick Mahomes","KCC",22,5,2,1.76,26.2,5.75248799999999
"26","RB","Tony Pollard","DAL",31,12,2,6.01,12.78,29.80026
