"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","Josh","Allen","BUF",5,6,1,1.05,34.24,6.20912879999998
"2","Patrick","Mahomes","KCC",15,17,2,3.55,52.54,8.14243919999994
"3","Justin","Herbert","LAC",23,32,3,2.76,46.49,2.03412719999994
"4","Lamar","Jackson","BAL",30,34,3,4.09,55.54,11.7006791999999
"5","Kyler","Murray","ARI",31,45,3,5.42,63.53,1.70499000000005
"6","Jalen","Hurts","PHI",42,35,4,5.65,65.38,26.3873147999999
"7","Aaron","Rodgers","GBP",46,38,4,12.32,102.22,8.78292239999988
"8","Tom","Brady","TBB",38,65,5,8.69,82.46,0.358789200000028
"9","Russell","Wilson","DEN",63,46,5,8.77,83.54,13.5420684
"10","Dak","Prescott","DAL",76,76,6,10.12,90.44,7.16095799999989
"11","Joe","Burrow","CIN",77,94,7,7.69,75.57,2.68054079999999
"12","Matthew","Stafford","LAR",103,103,8,12.13,101.6,8.66431439999999
"13","Kirk","Cousins","MIN",90,97,9,13.81,110.81,8.26994279999996
"14","Trey","Lance","SFO",201,118,9,11.02,95.37,16.3945907999999
"15","Derek","Carr","LVR",136,179,10,14.12,111.97,1.86807600000007
"16","Ryan","Tannehill","TEN",162,206,10,21.59,155.44,3.96447239999997
"17","Tua","Tagovailoa","MIA",164,221,11,17.1,124.83,6.81995999999991
"18","Jameis","Winston","NOS",192,184,12,19.9,144.71,22.7282580000001
"19","Matt","Ryan","IND",181,240,13,20.2,145.73,7.70062439999998
"20","Trevor","Lawrence","JAC",282,219,14,18.52,132.34,18.6659339999999
"21","Mac","Jones","NEP",308,296,14,23.39,167.11,4.80658920000003
"22","Carson","Wentz","WAS",287,303,14,24.93,179.54,16.219644
"23","Justin","Fields","CHI",288,272,15,17.46,127.54,22.061088
"24","Daniel","Jones","NYG",290,282,16,23.09,165.29,15.300432
"25","Jared","Goff","DET",332,323,16,24.9,182.01,21.6548555999999
"26","Davis","Mills","HOU",397,276,17,26.93,203.08,42.5031768000001
"27","Baker","Mayfield","CAR",324,353,17,25.74,194.47,9.87411599999995
"28","Marcus","Mariota","ATL",320,399,18,28.1,226.08,7.32404399999995
"29","Mitchell","Trubisky","PIT",374,377,18,NA,NA,18.740064
"30","Zach","Wilson","NYJ",400,398,19,25.85,192.44,6.16465079999998
"31","Geno","Smith","SEA",499,349,20,32.47,288.2,11.1876996000001
"32","Jacoby","Brissett","CLE",590,594,21,32.47,284.49,4.27285320000005
"33","Deshaun","Watson","CLE",591,596,22,30.47,259.5,25.0944875999999
"34","Drew","Lock","SEA",594,424,23,35.23,321.27,67.0224156
"35","Andy","Dalton","NOS",598,501,24,44.83,356.25,19.2322872
"36","Kenny","Pickett","PIT",592,599,24,33.02,301.11,3.321024
"37","Jimmy","Garoppolo","SFO",606,581,25,35.82,316.53,7.4367216
"38","Joe","Flacco","NYJ",595,602,26,39.71,349.81,15.7837596
"39","Tyler","Huntley","BAL",600,597,26,41.41,365.91,8.435994
"40","Taylor","Heinicke","WAS",608,598,27,46.86,361.67,3.5760312
"41","Sam","Darnold","CAR",612,600,27,39.56,334.57,14.7044268
"42","Brandon","Allen","CIN",593,606,28,52.33,NA,NA
"43","Teddy","Bridgewater","MIA",602,603,28,41.17,327.52,2.1853524
"44","Desmond","Ridder","ATL",628,601,28,35.99,330.25,8.094996
"45","Taysom","Hill","NOS",596,610,29,33.04,239.36,NA
"46","Tyrod","Taylor","NYG",601,605,29,40.66,361.46,11.19363
"47","Gardner","Minshew","PHI",603,607,29,43.14,361.31,5.7702792
"48","Trevor","Siemian","CHI",609,604,29,58.09,NA,6.656874
"49","Colt","McCoy","ARI",605,608,29,50.88,NA,1.497426
"50","Shane","Buechele","KCC",597,618,30,81.33,NA,NA
"51","Brian","Hoyer","NEP",615,609,30,57.6,NA,2.120118
"52","Josh","Johnson","FA",599,620,30,59.6,NA,NA
"53","Jarrett","Stidham","LVR",613,612,30,60.3,NA,3.2261376
"54","Cooper","Rush","FA",611,614,30,50.13,NA,4.692429
"55","Nick","Foles","IND",614,616,30,53,NA,3.1609032
"56","Kyle","Trask","TBB",604,622,30,53.94,NA,0
"57","Jordan","Love","GBP",610,621,30,47.6,NA,1.9481364
"58","Case","Keenum","BUF",616,617,30,49.68,NA,1.6960944
"59","Mike","White","NYJ",621,611,30,61.58,362.33,5.26323
"60","Joshua","Dobbs","CLE",626,613,30,67.17,NA,6.2832588
"61","Blaine","Gabbert","TBB",607,626,30,47.75,372.5,0.1541904
"62","Kyle","Allen","HOU",620,615,30,55.17,360.5,6.108312
"63","Chad","Henne","KCC",618,619,30,50.44,NA,3.914064
"64","Malik","Willis","TEN",619,625,30,40.09,334.09,2.4892854
"65","Sam","Howell","WAS",617,632,30,45.98,330.89,NA
"66","C.J.","Beathard","JAC",622,627,30,57.57,NA,1.6842336
"67","Nate","Sudfeld","SFO",627,628,30,65.33,NA,1.1060196
"68","Chase","Daniel","LAC",630,624,30,57.2,NA,4.0208112
"69","John","Wolford","LAR",633,623,31,50.06,NA,2.490768
"70","Mason","Rudolph","PIT",625,629,31,55.07,371.67,3.750978
"71","Nick","Mullens","MIN",629,631,31,58.85,NA,1.942206
"72","Brett","Rypien","DEN",632,630,31,64.75,NA,6.538266
"73","Sean","Mannion","FA",623,633,31,73.6,NA,NA
"74","David","Blough","DET",624,634,31,81.4,NA,NA
"75","Sam","Ehlinger","IND",631,635,31,71.75,NA,NA
"76","Jared","Bernhardt","ATL",631,635,31,228.5,NA,NA
