"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"1","Austin","Ekeler","LAC",27,2,1,4.05,8.23,40.62324
"2","Christian","McCaffrey","SFO",29,8,1,1.73,3.44,19.86684
"3","Derrick","Henry","TEN",33,9,1,4.77,9.72,49.37058
"4","Nick","Chubb","CLE",32,10,1,2.84,5.73,42.4023599999999
"5","Josh","Jacobs","LVR",30,14,1,7.18,15.46,3.40997999999997
"6","Tony","Pollard","DAL",31,12,2,6.01,12.78,29.80026
"7","Saquon","Barkley","NYG",37,15,2,6.56,13.97,31.8759
"8","Alvin","Kamara","NOS",5,88,2,28.4,74.27,14.52948
"9","Joe","Mixon","CIN",44,31,3,11.81,28.11,24.4629
"10","Jonathan","Taylor","IND",4,117,3,24.88,63.66,2.07564000000001
"11","Kenneth","Walker III","SEA",51,20,3,15.9,39.95,76.50216
"12","Rhamondre","Stevenson","NEP",55,34,3,12.41,30.14,37.95456
"13","J.K.","Dobbins","BAL",62,19,3,18.03,46.03,84.35994
"14","Aaron","Jones","GBP",48,45,3,15.58,39.05,16.3086
"15","Travis","Etienne","JAC",57,39,3,12.66,30.86,38.99238
"16","James","Conner","ARI",52,44,3,22.95,59.46,30.09678
"17","Dameon","Pierce","HOU",60,56,3,18.18,46.39,5.9304
"18","Najee","Harris","PIT",71,24,3,12.46,30.08,81.0982200000001
"19","Alexander","Mattison","MIN",58,65,3,19.66,50.58,5.48562000000007
"20","Miles","Sanders","CAR",74,30,3,18.31,46.73,72.7956600000001
"21","Breece","Hall","NYJ",103,35,4,18.86,47.95,67.31004
"22","Cam","Akers","LAR",77,37,4,19.09,49.05,87.17688
"23","David","Montgomery","DET",94,55,4,25.31,65.2,49.81536
"24","Brian","Robinson","WAS",100,52,4,31.79,83.38,59.15574
"25","Khalil","Herbert","CHI",148,51,4,30.18,79.09,66.27222
"26","Isiah","Pacheco","KCC",82,70,4,26.76,69.82,41.5128
"27","D'Andre","Swift","PHI",143,59,4,31.2,82.31,56.78358
"28","Javonte","Williams","DEN",113,46,4,26.22,68.21,86.43558
"29","James","Cook","BUF",106,85,4,25.25,65.95,29.80026
"30","Dalvin","Cook","NYJ",118,64,4,28.93,75.5,60.0453
"31","Bijan","Robinson","ATL",88,28,4,4.05,8.02,135.502227
"32","AJ","Dillon","GBP",137,83,4,33.76,89.23,43.88496
"33","Rachaad","White","TBB",109,99,4,26.46,68.61,47.88798
"34","Leonard","Fournette","FA*",12,251,4,70.49,233.06,NA
"35","Jahmyr","Gibbs","DET",211,48,4,15.02,37.67,125.657763
"36","Jamaal","Williams","NOS",128,112,5,38.01,102.14,41.95758
